TransactionID,Date,CustomerID,ProductID,ProductCategory,ProductName,UnitCost,QuantitySold,TotalSale,PaymentMethod,StoreLocation
100001,2025-07-01,CUST0001,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,North End
100002,2025-07-01,CUST0002,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,2,259.98,Debit Card,Downtown
100003,2025-07-01,CUST0003,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Cash,Suburban Mall
100004,2025-07-02,CUST0004,MB002,Motherboard,ASUS ROG Strix B650E,299.99,1,299.99,Credit Card,North End
100005,2025-07-02,CUST0005,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Credit Card,Downtown
100006,2025-07-02,CUST0006,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Debit Card,Suburban Mall
100007,2025-07-03,CUST0007,GPU002,Graphics Card,AMD Radeon RX 7900 XT,799.00,1,799.00,Cash,North End
100008,2025-07-03,CUST0008,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Credit Card,Downtown
100009,2025-07-03,CUST0009,COOL001,Cooling,Noctua NH-D15,109.95,1,109.95,Credit Card,Suburban Mall
100010,2025-07-04,CUST0010,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,1,59.99,Debit Card,North End
100011,2025-07-04,CUST0011,SSD002,Storage,Crucial P5 Plus 1TB NVMe,89.99,2,179.98,Credit Card,Downtown
100012,2025-07-04,CUST0012,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Cash,Suburban Mall
100013,2025-07-05,CUST0013,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Credit Card,North End
100014,2025-07-05,CUST0014,MB004,Motherboard,Gigabyte Z790 AORUS ELITE,249.99,1,249.99,Credit Card,Downtown
100015,2025-07-05,CUST0015,CASE003,Case,Fractal Design Meshify 2,129.50,1,129.50,Debit Card,Suburban Mall
100016,2025-07-06,CUST0016,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Credit Card,North End
100017,2025-07-06,CUST0017,COOL003,Cooling,NZXT Kraken Z73 AIO,249.95,1,249.95,Cash,Downtown
100018,2025-07-06,CUST0018,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,Suburban Mall
100019,2025-07-07,CUST0019,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,4,519.96,Debit Card,North End
100020,2025-07-07,CUST0020,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Credit Card,Downtown
100021,2025-07-07,CUST0021,ACC001,Accessory,Gaming Mouse Pad XXL,29.99,1,29.99,Cash,Suburban Mall
100022,2025-07-08,CUST0022,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Credit Card,North End
100023,2025-07-08,CUST0023,RAM002,Memory,Kingston Fury 64GB DDR5,199.99,1,199.99,Debit Card,Downtown
100024,2025-07-08,CUST0024,SSD001,Storage,Western Digital Black 4TB,299.00,1,299.00,Credit Card,Suburban Mall
100025,2025-07-09,CUST0025,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Cash,North End
100026,2025-07-09,CUST0026,MB001,Motherboard,MSI MAG B760 TOMAHAWK,189.50,1,189.50,Credit Card,Downtown
100027,2025-07-09,CUST0027,PSU002,Power Supply,EVGA SuperNOVA 850 GT,119.99,1,119.99,Debit Card,Suburban Mall
100028,2025-07-10,CUST0028,CASE002,Case,NZXT H7 Flow,129.00,1,129.00,Cash,North End
100029,2025-07-10,CUST0029,COOL002,Cooling,Deepcool AK620,64.99,2,129.98,Credit Card,Downtown
100030,2025-07-10,CUST0030,FAN001,Fan,Arctic P12 PWM 5-Pack,39.99,1,39.99,Credit Card,Suburban Mall
100031,2025-07-11,CUST0031,CPU004,CPU,AMD Ryzen 5 7600X,229.00,1,229.00,Debit Card,North End
100032,2025-07-11,CUST0032,RAM004,Memory,TeamGroup T-Force 16GB DDR5,79.99,2,159.98,Cash,Downtown
100033,2025-07-11,CUST0033,SSD003,Storage,PNY CS2140 1TB NVMe,69.50,1,69.50,Credit Card,Suburban Mall
100034,2025-07-12,CUST0034,GPU001,Graphics Card,NVIDIA RTX 4080,1199.00,1,1199.00,Credit Card,North End
100035,2025-07-12,CUST0035,MB003,Motherboard,ASRock B650M PG Lightning,199.99,1,199.99,Debit Card,Downtown
100036,2025-07-12,CUST0036,PSU003,Power Supply,Corsair SF750 (SFX),189.00,1,189.00,Cash,Suburban Mall
100037,2025-07-13,CUST0037,CASE004,Case,Cooler Master H500,99.99,1,99.99,Credit Card,North End
100038,2025-07-13,CUST0038,COOL004,Cooling,Lian Li Galahad AIO 360,149.95,1,149.95,Credit Card,Downtown
100039,2025-07-13,CUST0039,MON002,Monitor,Dell S2721QS 4K,349.99,1,349.99,Debit Card,Suburban Mall
100040,2025-07-14,CUST0040,ACC002,Accessory,Mechanical Keyboard TKL,89.50,1,89.50,Cash,North End
100041,2025-07-14,CUST0041,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,Downtown
100042,2025-07-14,CUST0042,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,2,119.98,Debit Card,Suburban Mall
100043,2025-07-15,CUST0043,SSD004,Storage,Samsung 870 EVO 1TB SATA,109.99,1,109.99,Credit Card,North End
100044,2025-07-15,CUST0044,GPU004,Graphics Card,AMD Radeon RX 7800 XT,549.00,1,549.00,Cash,Downtown
100045,2025-07-15,CUST0045,PSU005,Power Supply,Cooler Master MWE 750W,89.99,1,89.99,Credit Card,Suburban Mall
